,2020-03-01 06:00:00,2020-03-01 18:00:00,2020-03-02 06:00:00,2020-03-02 18:00:00,2020-03-03 06:00:00,2020-03-03 18:00:00,2020-03-04 06:00:00,2020-03-04 18:00:00,2020-03-05 06:00:00,2020-03-05 18:00:00,2020-03-06 06:00:00,2020-03-06 18:00:00,2020-03-07 06:00:00,2020-03-07 18:00:00,2020-03-08 06:00:00,2020-03-08 18:00:00,2020-03-09 06:00:00,2020-03-09 18:00:00,2020-03-10 06:00:00,2020-03-10 18:00:00,2020-03-11 06:00:00,2020-03-11 18:00:00,2020-03-12 06:00:00,2020-03-12 18:00:00,2020-03-13 06:00:00,2020-03-13 18:00:00,2020-03-14 06:00:00,2020-03-14 18:00:00,2020-03-15 06:00:00,2020-03-15 18:00:00,2020-03-16 06:00:00,2020-03-16 18:00:00,2020-03-17 06:00:00,2020-03-17 18:00:00,2020-03-18 06:00:00,2020-03-18 18:00:00,2020-03-19 06:00:00,2020-03-19 18:00:00,2020-03-20 06:00:00,2020-03-20 18:00:00,2020-03-21 06:00:00,2020-03-21 18:00:00,2020-03-22 06:00:00,2020-03-22 18:00:00,2020-03-23 06:00:00,2020-03-23 18:00:00,2020-03-24 06:00:00,2020-03-24 18:00:00,2020-03-25 06:00:00,2020-03-25 18:00:00,2020-03-26 06:00:00,2020-03-26 18:00:00,2020-03-27 06:00:00,2020-03-27 18:00:00,2020-03-28 06:00:00,2020-03-28 18:00:00,2020-03-29 06:00:00,2020-03-29 18:00:00,2020-03-30 06:00:00,2020-03-30 18:00:00,2020-03-31 06:00:00,2020-03-31 18:00:00
M1_VOL,1.6,14.7,4.3,7.9,0,8.9,0,3,1.6,2.3,0,34.2,0,5.1,0,1.5,5.5,1.6,3.6,5.2,1,14.4,18.9,4.7,3.5,19.5,12.2,11.3,5.8,10,17.1,20.9,10,29,14.2,37.2,16.9,11.3,17.6,3,4.7,6.5,8.2,11.8,10.5,4.9,2,13.8,0,8.9,6.8,8.7,10,19,9.9,13,8,16,5.2,11,21,18.8
M1_T,2.704,24.843,7.267,13.351,0,15.041,0,5.07,2.704,3.887,0,57.798,0,8.619,0,2.535,9.295,2.704,6.084,8.788,1.69,24.336,31.941,7.943,5.915,32.955,20.618,19.097,9.802,16.9,28.899,35.321,16.9,49.01,23.998,62.868,28.561,19.097,29.744,5.07,7.943,10.985,13.858,19.942,17.745,8.281,3.38,23.322,0,15.041,11.492,14.703,16.9,32.11,16.731,21.97,13.52,27.04,8.788,18.59,35.49,31.772
M1_GPT,0.73,1.46,0.71,0.74,0.82,0,0,0.64,0.53,0.94,0.4,0.54,0.38,0,0,2.48,0.67,0.32,0.97,0.21,0.38,1.08,1.11,0.59,1.37,0.4,0.592,0.68,0.71,1.52,0.58,1.08,0.7,1.48,1.15,0.69,2.2,0.58,1.42,0.53,1.5,0.46,0.72,1.58,1.24,0.77,0.16,0.91,1.14,0.68,1.82,1.49,0.752,1.764,1.268,0.61,1.12,1.908,1.808,0.804,0.72,1.116
M3_VOL,6,12.7,21,16.9,17,0.36,7.1,2.7,12.3,0,0,0,0,0,0,3.1,6.3,2.5,8.8,1,7.3,13.7,4.6,16,4.6,14.7,0,22.5,9.9,1.8,8.4,7.4,8,5,20.5,13.3,8.2,15.9,9.6,6.1,2.5,4.2,3.9,8.6,5.8,4.2,5.6,7.1,0,2.7,7.7,6.6,17,7,8.5,12.4,18,9,9.8,7.7,9.8,7
M3_T,10.14,21.463,35.49,28.561,28.73,0.6084,11.999,4.563,20.787,0,0,0,0,0,0,5.239,10.647,4.225,14.872,1.69,12.337,23.153,7.774,27.04,7.774,24.843,0,38.025,16.731,3.042,14.196,12.506,13.52,8.45,34.645,22.477,13.858,26.871,16.224,10.309,4.225,7.098,6.591,14.534,9.802,7.098,9.464,11.999,0,4.563,13.013,11.154,28.73,11.83,14.365,20.956,30.42,15.21,16.562,13.013,16.562,11.83
M3_GPT,1.02,0.7,0.83,1.17,1.39,0.44,0.36,0.62,0.55,0,0,0,0,0.5,1.03,0.84,0.39,0.49,0.62,0.6,0.64,2.48,1.83,0.72,0.63,0.84,0.676,0.712,0.64,1.004,0.74,1.94,0.67,1.35,1.28,0.54,0.86,0.49,0.82,1.52,1.44,0.56,0.74,0.68,2.98,1.064,0.74,0.84,0.68,0.73,1.23,1.868,1.22,1.736,1.82,1.34,1.94,1.896,1.288,1.24,1.284,0.624
